"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Joey Votto","Reds","158","556","677","181","116","34","2","29","101","97","108","15","120","5","8","0","16","8","1",".326","4314"
"Miguel Cabrera","Tigers","158","595","679","188","118","31","1","38","92","108","75","15","116","4","5","0","26","0","0",".316","1744"
"Freddie Freeman","Braves","158","589","693","178","95","43","6","34","102","91","89","18","171","10","5","0","12","6","1",".302","5361"
"Paul Goldschmidt","Diamondbacks","158","579","705","172","112","33","3","24","106","95","110","15","150","7","8","0","14","32","5",".297","9218"
"Jose Abreu","White Sox","159","624","695","183","125","32","1","25","67","100","47","7","125","15","9","0","21","0","2",".293","15676"
"Anthony Rizzo","Cubs","155","583","676","170","91","43","4","32","94","109","74","8","108","16","3","0","13","3","5",".292","3473"
"Hanley Ramirez","Red Sox","147","549","620","157","98","28","1","30","81","111","60","5","120","7","4","0","17","9","3",".286","8001"
"Adrian Gonzalez","Dodgers","156","568","633","162","113","31","0","18","69","90","55","9","117","4","6","0","16","0","2",".285","1908"
"Brandon Belt","Giants","156","542","655","149","83","41","8","17","77","82","104","4","148","5","4","0","7","0","4",".275","10264"
"Matt Carpenter","Cardinals","129","473","566","128","65","36","6","21","81","68","81","6","108","5","4","3","4","0","4",".271","8090"
"Eric Hosmer","Royals","158","605","667","161","111","24","1","25","80","104","57","5","132","1","4","0","18","5","3",".266","3516"
"Edwin Encarnacion","Blue Jays","160","601","702","158","82","34","0","42","99","127","87","3","138","5","8","0","22","2","0",".263","2151"
"Joe Mauer","Twins","134","494","576","129","92","22","4","11","68","49","79","10","93","1","2","0","11","2","0",".261","1857"
"Carlos Santana","Indians","158","582","688","151","83","31","3","34","89","87","99","0","99","2","5","0","18","5","2",".259","2396"
"Wil Myers","Padres","157","599","676","155","94","29","4","28","99","94","68","1","160","4","5","0","12","28","6",".259","10047"
"Marwin Gonzalez","Astros","141","484","518","123","81","26","3","13","55","51","22","1","118","5","1","6","16","12","6",".254","5497"
"Yonder Alonso","Athletics","156","482","532","122","81","34","0","7","52","56","45","1","74","1","4","0","15","3","1",".253","2530"
"Brad Miller","Rays","152","548","601","133","68","29","6","30","73","81","47","0","149","3","3","0","5","6","4",".243","12775"
"Travis Shaw","Red Sox","145","480","530","116","64","34","2","16","63","71","43","4","133","3","4","0","10","5","1",".242","11982"
"Mike Napoli","Indians","150","557","645","133","76","22","1","34","92","101","78","2","194","5","5","0","15","5","1",".239","3057"
"Mitch Moreland","Rangers","147","460","503","107","64","21","0","22","49","60","35","5","118","8","0","0","8","1","0",".233","3086"
"Chris Carter","Brewers","160","549","644","122","53","27","1","41","84","94","76","1","206","9","10","0","18","3","1",".222","9911"
"Chris Davis","Orioles","157","566","665","125","66","21","0","38","99","84","88","3","219","8","3","0","6","1","0",".221","9272"
