"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Daniel Murphy","Nationals","582","6.0 %","9.8 %","0.61",".347",".390",".595",".985",".249","4.4",".348","1.6","2.3","-0.5","112","43.4",".408","156","4316"
"DJ LeMahieu","Rockies","635","10.4 %","12.6 %","0.83",".348",".416",".495",".911",".147","5.6",".388","2.7","-2.0","-1.1","113","38.5",".391","128","9874"
"Jose Altuve","Astros","717","8.4 %","9.8 %","0.86",".338",".396",".531",".928",".194","5.8",".347","-1.1","-0.2","1.5","127","42.9",".391","150","5417"
"Matt Carpenter","Cardinals","566","14.3 %","19.1 %","0.75",".271",".380",".505",".885",".235","4.0",".307","-2.0","0.9","-2.0","93","26.6",".375","135","8090"
"Jean Segura","Diamondbacks","694","5.6 %","14.6 %","0.39",".319",".368",".499",".867",".181","6.8",".353","2.4","0.6","2.1","112","30.4",".371","126","5933"
"Robinson Cano","Mariners","715","6.6 %","14.0 %","0.47",".298",".350",".533",".882",".235","2.2",".299","-0.5","-0.5","-0.8","115","30.7",".370","138","3269"
"Brian Dozier","Twins","691","8.8 %","20.0 %","0.44",".268",".340",".546",".886",".278","6.1",".280","2.7","0.3","2.5","111","29.5",".370","132","9810"
"Ben Zobrist","Cubs","631","15.2 %","13.0 %","1.17",".272",".386",".446",".831",".174","4.0",".290","4.1","-1.5","-0.9","96","21.8",".360","124","7435"
"Dustin Pedroia","Red Sox","698","8.7 %","10.5 %","0.84",".318",".376",".449",".825",".131","3.5",".339","-1.1","-2.7","-0.7","105","23.0",".358","120","8370"
"Ian Kinsler","Tigers","679","6.6 %","16.9 %","0.39",".288",".348",".484",".831",".196","5.8",".314","2.4","1.3","-0.1","101","21.4",".356","123","6195"
"Jason Kipnis","Indians","688","8.7 %","21.2 %","0.41",".275",".343",".469",".811",".193","5.4",".324","2.2","-2.5","1.4","98","16.5",".347","117","9776"
"Rougned Odor","Rangers","632","3.0 %","21.4 %","0.14",".271",".296",".502",".798",".231","5.5",".297","1.7","2.7","-0.3","84","9.3",".336","106","12282"
"Logan Forsythe","Rays","567","8.1 %","22.4 %","0.36",".264",".333",".444",".778",".180","4.5",".314","2.7","-0.8","-1.6","75","8.2",".336","113","7185"
"Cesar Hernandez","Phillies","622","10.6 %","18.6 %","0.57",".294",".371",".393",".764",".099","5.7",".363","2.4","1.0","-2.4","82","8.5",".335","108","10556"
"Jonathan Schoop","Orioles","647","3.2 %","21.2 %","0.15",".267",".298",".454",".752",".187","2.4",".305","0.8","-0.4","-0.9","77","1.2",".320","97","11265"
"Brandon Phillips","Reds","584","3.1 %","11.6 %","0.26",".291",".320",".416",".736",".125","4.4",".312","-1.1","-1.7","-0.8","67","-1.6",".315","92","791"
"Scooter Gennett","Brewers","542","7.0 %","21.0 %","0.33",".263",".317",".412",".728",".149","4.1",".315","-3.5","0.0","0.9","62","-1.6",".315","91","10339"
"Starlin Castro","Yankees","610","3.9 %","19.3 %","0.20",".270",".300",".433",".734",".163","3.1",".305","-1.3","-0.8","0.5","69","-2.7",".313","94","4579"
"Chase Utley","Dodgers","565","7.1 %","20.4 %","0.35",".252",".319",".396",".716",".145","3.9",".299","0.0","2.0","-0.7","64","-2.9",".312","97","1679"
"Josh Harrison","Pirates","522","3.4 %","14.6 %","0.24",".283",".311",".388",".699",".105","6.8",".323","0.7","0.6","1.9","54","-7.5",".301","87","8202"
"Joe Panik","Giants","526","9.5 %","8.9 %","1.06",".239",".315",".379",".695",".140","5.9",".245","1.6","-0.1","0.7","54","-7.9",".300","89","11936"
