"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"David Ortiz","Red Sox","626","12.8 %","13.7 %","0.93",".315",".401",".620","1.021",".305","2.2",".312","-7.5","-2.5","0.1","126","52.2",".419","163","745"
"Mike Trout","Angels","681","17.0 %","20.1 %","0.85",".315",".441",".550",".991",".235","6.6",".371","3.2","3.5","2.6","136","56.2",".418","171","10155"
"Joey Votto","Reds","677","16.0 %","17.7 %","0.90",".326",".434",".550",".985",".225","3.9",".366","-3.2","-0.2","0.7","133","53.1",".413","158","4314"
"Daniel Murphy","Nationals","582","6.0 %","9.8 %","0.61",".347",".390",".595",".985",".249","4.4",".348","1.6","2.3","-0.5","112","43.4",".408","156","4316"
"Josh Donaldson","Blue Jays","700","15.6 %","17.0 %","0.92",".284",".404",".549",".953",".265","5.1",".300","0.1","-0.4","0.5","131","49.0",".403","155","5038"
"Freddie Freeman","Braves","693","12.8 %","24.7 %","0.52",".302",".400",".569",".968",".267","4.8",".370","-1.3","2.0","0.4","129","47.7",".402","152","5361"
"Miguel Cabrera","Tigers","679","11.0 %","17.1 %","0.65",".316",".393",".563",".956",".247","1.3",".336","-6.6","-3.0","-0.4","125","45.1",".399","152","1744"
"Kris Bryant","Cubs","699","10.7 %","22.0 %","0.49",".292",".385",".554",".939",".262","4.5",".332","3.2","5.0","-0.9","127","45.1",".396","149","15429"
"Charlie Blackmon","Rockies","641","6.7 %","15.9 %","0.42",".324",".381",".552",".933",".228","5.9",".350","2.1","1.7","-0.7","116","40.1",".394","130","7859"
"DJ LeMahieu","Rockies","635","10.4 %","12.6 %","0.83",".348",".416",".495",".911",".147","5.6",".388","2.7","-2.0","-1.1","113","38.5",".391","128","9874"
"Anthony Rizzo","Cubs","676","10.9 %","16.0 %","0.69",".292",".385",".544",".928",".252","3.2",".309","-2.6","1.6","-1.8","120","40.7",".391","145","3473"
"Jose Altuve","Astros","717","8.4 %","9.8 %","0.86",".338",".396",".531",".928",".194","5.8",".347","-1.1","-0.2","1.5","127","42.9",".391","150","5417"
"Nolan Arenado","Rockies","696","9.8 %","14.8 %","0.66",".294",".362",".570",".932",".275","3.8",".293","0.1","0.0","-1.2","121","39.0",".386","124","9777"
"J.D. Martinez","Tigers","517","9.5 %","24.8 %","0.38",".307",".373",".535",".908",".228","2.7",".378","-1.8","-0.7","-0.9","89","28.0",".384","142","6184"
"Nelson Cruz","Mariners","667","9.3 %","23.8 %","0.39",".287",".360",".555",".915",".268","2.8",".320","-3.2","-0.1","0.0","114","35.8",".383","147","2434"
"Paul Goldschmidt","Diamondbacks","705","15.6 %","21.3 %","0.73",".297",".411",".489",".899",".192","5.7",".358","1.4","0.1","3.9","120","37.1",".382","134","9218"
"Mookie Betts","Red Sox","730","6.7 %","11.0 %","0.61",".318",".363",".534",".897",".216","6.4",".322","5.9","0.8","3.1","123","36.9",".379","135","13611"
"Ryan Braun","Brewers","564","8.2 %","17.4 %","0.47",".305",".365",".538",".903",".233","5.0",".326","0.6","-1.8","0.8","94","27.8",".378","133","3410"
"Matt Carpenter","Cardinals","566","14.3 %","19.1 %","0.75",".271",".380",".505",".885",".235","4.0",".307","-2.0","0.9","-2.0","93","26.6",".375","135","8090"
"Brandon Belt","Giants","655","15.9 %","22.6 %","0.70",".275",".394",".474",".868",".199","3.7",".346","-3.0","2.3","-2.1","107","30.1",".374","138","10264"
"Edwin Encarnacion","Blue Jays","702","12.4 %","19.7 %","0.63",".263",".357",".529",".886",".266","2.2",".270","-0.9","-1.2","0.0","115","31.9",".373","134","2151"
"Corey Seager","Dodgers","687","7.9 %","19.4 %","0.41",".308",".365",".512",".877",".204","4.1",".355","2.7","0.9","-1.0","112","30.6",".372","137","13624"
"Adrian Beltre","Rangers","640","7.5 %","10.3 %","0.73",".300",".358",".521",".879",".221","2.1",".293","-1.0","0.8","-0.6","103","28.1",".371","130","639"
"Jean Segura","Diamondbacks","694","5.6 %","14.6 %","0.39",".319",".368",".499",".867",".181","6.8",".353","2.4","0.6","2.1","112","30.4",".371","126","5933"
"Robinson Cano","Mariners","715","6.6 %","14.0 %","0.47",".298",".350",".533",".882",".235","2.2",".299","-0.5","-0.5","-0.8","115","30.7",".370","138","3269"
"Brian Dozier","Twins","691","8.8 %","20.0 %","0.44",".268",".340",".546",".886",".278","6.1",".280","2.7","0.3","2.5","111","29.5",".370","132","9810"
"Carlos Santana","Indians","688","14.4 %","14.4 %","1.00",".259",".366",".498",".865",".239","3.5",".258","0.9","-1.6","-0.2","110","29.4",".370","132","2396"
"Yoenis Cespedes","Mets","543","9.4 %","19.9 %","0.47",".280",".354",".530",".884",".251","2.9",".298","0.7","-0.8","-0.1","87","22.8",".369","134","13110"
"Christian Yelich","Marlins","659","10.9 %","20.9 %","0.52",".298",".376",".483",".859",".185","3.9",".356","3.3","-0.6","-0.2","104","26.8",".367","130","11477"
"Hanley Ramirez","Red Sox","620","9.7 %","19.4 %","0.50",".286",".361",".505",".866",".219","3.7",".315","-1.2","-0.4","0.2","98","25.2",".367","127","8001"
"Dexter Fowler","Cubs","551","14.3 %","22.5 %","0.64",".276",".393",".447",".840",".171","6.5",".350","4.3","1.3","0.6","87","22.2",".367","129","4062"
"Manny Machado","Orioles","696","6.9 %","17.2 %","0.40",".294",".343",".533",".876",".239","2.3",".309","0.9","0.3","-1.6","110","27.6",".366","129","11493"
"Kyle Seager","Mariners","676","10.2 %","16.0 %","0.64",".278",".359",".499",".859",".221","3.4",".295","-0.4","-1.4","-0.2","105","24.9",".363","133","9785"
