"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jonathan Lucroy","- - -","544","8.6 %","18.4 %","0.47",".292",".355",".500",".855",".208","4.3",".322","-0.6","-0.8","0.7","84","19.5",".362","123","7870"
"Wilson Ramos","Nationals","523","6.7 %","15.1 %","0.44",".307",".354",".496",".850",".189","0.9",".327","-4.8","-1.8","-0.3","80","18.7",".361","124","1433"
"Yasmani Grandal","Dodgers","457","14.0 %","25.4 %","0.55",".228",".339",".477",".816",".249","1.9",".250","-3.3","-0.9","-1.3","66","12.0",".350","122","11368"
"Evan Gattis","Astros","499","8.6 %","25.5 %","0.34",".251",".319",".508",".826",".257","1.9",".273","-0.8","-1.1","-0.2","70","11.1",".345","119","11003"
"Yadier Molina","Cardinals","581","6.7 %","10.8 %","0.62",".307",".360",".427",".787",".120","2.3",".335","-5.2","-2.9","-0.6","80","11.4",".342","113","7007"
"Buster Posey","Giants","614","10.4 %","11.1 %","0.94",".288",".362",".434",".796",".147","4.1",".303","-2.1","-1.4","0.4","84","11.6",".341","116","9166"
"Tyler Flowers","Braves","325","8.9 %","28.0 %","0.32",".270",".357",".420",".777",".149","0.7",".366","-3.7","1.2","-0.2","44","5.5",".338","110","9134"
"J.T. Realmuto","Marlins","545","5.1 %","18.3 %","0.28",".303",".343",".428",".771",".126","3.7",".357","1.2","-0.4","0.4","71","6.8",".333","107","11739"
"Brian McCann","Yankees","492","11.0 %","20.1 %","0.55",".242",".335",".413",".748",".170","1.9",".269","-1.8","-1.7","-0.1","61","3.2",".326","103","4810"
"Nick Hundley","Rockies","317","7.9 %","20.5 %","0.38",".260",".320",".439",".759",".180","1.7",".302","0.3","-1.8","-0.2","39","1.3",".323","82","3376"
"Russell Martin","Blue Jays","535","12.0 %","27.7 %","0.43",".231",".335",".398",".733",".167","2.2",".291","-1.4","0.0","-0.3","65","1.6",".322","99","4616"
"Cameron Rupp","Phillies","419","5.7 %","27.2 %","0.21",".252",".303",".447",".750",".195","2.1",".315","-1.2","-1.4","0.0","50","1.1",".321","99","11146"
"Welington Castillo","Diamondbacks","457","7.2 %","26.5 %","0.27",".264",".322",".423",".745",".159","2.1",".337","-5.2","1.6","0.2","54","0.4",".319","92","3256"
"Francisco Cervelli","Pirates","393","14.2 %","18.3 %","0.78",".264",".377",".322",".699",".058","4.0",".329","1.1","-1.5","0.1","46","0.1",".318","99","5275"
"Salvador Perez","Royals","546","4.0 %","21.8 %","0.18",".247",".288",".438",".725",".191","2.0",".280","-3.5","-0.4","-0.2","60","-4.7",".308","88","7304"
"Matt Wieters","Orioles","464","6.9 %","18.3 %","0.38",".243",".302",".409",".711",".165","2.5",".265","-0.4","-0.1","0.0","50","-4.4",".307","88","4298"
"Stephen Vogt","Athletics","532","6.6 %","15.6 %","0.42",".251",".305",".406",".711",".155","2.0",".275","0.3","0.8","-0.3","57","-5.8",".305","93","5000"
"Kurt Suzuki","Twins","373","4.8 %","12.9 %","0.38",".258",".301",".403",".704",".145","1.7",".276","-4.0","-0.1","-0.2","39","-4.6",".303","86","8259"
"Jason Castro","Astros","376","12.0 %","32.7 %","0.37",".210",".307",".377",".684",".167","4.2",".297","-2.7","-0.4","-0.2","39","-5.4",".301","88","8722"
"Tucker Barnhart","Reds","420","8.6 %","17.1 %","0.50",".257",".323",".379",".702",".122","2.2",".299","-5.5","-1.0","0.0","43","-6.3",".300","82","10200"
"Chris Iannetta","Mariners","338","11.2 %","24.6 %","0.46",".210",".303",".329",".631",".119","0.6",".266","-1.8","1.1","-0.2","30","-9.9",".282","77","8267"
"James McCann","Tigers","373","6.2 %","29.2 %","0.21",".221",".272",".358",".629",".137","1.9",".283","-1.8","-1.6","-0.6","30","-13.8",".273","66","12859"
"Dioner Navarro","- - -","334","6.9 %","21.3 %","0.32",".207",".265",".322",".587",".115","3.0",".248","-1.9","0.5","-0.8","23","-16.6",".258","56","3179"
"Derek Norris","Padres","458","7.9 %","30.3 %","0.26",".186",".255",".328",".583",".142","4.4",".238","1.2","-0.2","0.8","29","-25.1",".252","55","6867"
