"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Yadier Molina","Cardinals","147","534","581","164","117","38","1","8","56","58","39","1","63","6","2","0","22","3","2",".307","7007"
"Wilson Ramos","Nationals","131","482","523","148","101","25","0","22","58","80","35","2","79","2","4","0","17","0","0",".307","1433"
"J.T. Realmuto","Marlins","137","509","545","154","112","31","0","11","60","48","28","1","100","5","3","0","12","12","4",".303","11739"
"Jonathan Lucroy","- - -","142","490","544","143","92","24","3","24","67","81","47","5","100","3","4","0","16","5","0",".292","7870"
"Buster Posey","Giants","146","539","614","155","106","33","2","14","82","80","64","7","68","3","8","0","18","6","1",".288","9166"
"Tyler Flowers","Braves","83","281","325","76","50","18","0","8","27","41","29","1","91","11","4","0","3","0","0",".270","9134"
"Welington Castillo","Diamondbacks","113","416","457","110","72","24","0","14","41","68","33","3","121","4","4","0","5","2","0",".264","3256"
"Francisco Cervelli","Pirates","101","326","393","86","70","14","1","1","42","33","56","1","72","6","5","0","14","6","2",".264","5275"
"Nick Hundley","Rockies","83","289","317","75","44","20","1","10","30","48","25","3","65","1","1","1","12","0","0",".260","3376"
"Kurt Suzuki","Twins","106","345","373","89","56","24","1","8","34","49","18","0","48","5","4","1","9","0","0",".258","8259"
"Tucker Barnhart","Reds","115","377","420","97","66","23","1","7","34","51","36","8","72","2","3","2","12","1","0",".257","10200"
"Cameron Rupp","Phillies","105","389","419","98","55","26","1","16","36","54","24","0","114","5","1","0","11","1","0",".252","11146"
"Stephen Vogt","Athletics","137","490","532","123","77","30","2","14","54","56","35","3","83","4","3","0","6","0","0",".251","5000"
"Evan Gattis","Astros","128","447","499","112","61","19","0","32","58","72","43","6","127","4","5","0","12","2","1",".251","11003"
"Salvador Perez","Royals","139","514","546","127","75","28","2","22","57","64","22","3","119","8","2","0","12","0","0",".247","7304"
"Matt Wieters","Orioles","124","423","464","103","68","17","1","17","48","66","32","1","85","5","3","1","10","1","0",".243","4298"
"Brian McCann","Yankees","130","429","492","104","71","13","0","20","56","58","54","2","99","7","2","0","15","1","0",".242","4810"
"Russell Martin","Blue Jays","137","455","535","105","69","16","0","20","62","74","64","1","148","10","5","1","12","2","1",".231","4616"
"Yasmani Grandal","Dodgers","126","390","457","89","47","14","1","27","49","72","64","1","116","2","1","0","11","1","3",".228","11368"
"James McCann","Tigers","105","344","373","76","54","9","1","12","31","48","23","0","109","2","3","1","12","0","1",".221","12859"
"Chris Iannetta","Mariners","94","295","338","62","41","14","0","7","23","24","38","0","83","2","2","1","4","0","0",".210","8267"
"Jason Castro","Astros","113","329","376","69","39","16","3","11","41","32","45","0","123","1","0","1","9","2","1",".210","8722"
"Dioner Navarro","- - -","101","304","334","63","42","13","2","6","26","35","23","0","71","2","3","2","5","1","2",".207","3179"
"Derek Norris","Padres","125","415","458","77","46","17","0","14","50","42","36","5","139","4","3","0","9","9","2",".186","6867"
