"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Mike Trout","Angels","681","17.0 %","20.1 %","0.85",".315",".441",".550",".991",".235","6.6",".371","3.2","3.5","2.6","136","56.2",".418","171","10155"
"Kris Bryant","Cubs","699","10.7 %","22.0 %","0.49",".292",".385",".554",".939",".262","4.5",".332","3.2","5.0","-0.9","127","45.1",".396","149","15429"
"Charlie Blackmon","Rockies","641","6.7 %","15.9 %","0.42",".324",".381",".552",".933",".228","5.9",".350","2.1","1.7","-0.7","116","40.1",".394","130","7859"
"J.D. Martinez","Tigers","517","9.5 %","24.8 %","0.38",".307",".373",".535",".908",".228","2.7",".378","-1.8","-0.7","-0.9","89","28.0",".384","142","6184"
"Nelson Cruz","Mariners","667","9.3 %","23.8 %","0.39",".287",".360",".555",".915",".268","2.8",".320","-3.2","-0.1","0.0","114","35.8",".383","147","2434"
"Mookie Betts","Red Sox","730","6.7 %","11.0 %","0.61",".318",".363",".534",".897",".216","6.4",".322","5.9","0.8","3.1","123","36.9",".379","135","13611"
"Ryan Braun","Brewers","564","8.2 %","17.4 %","0.47",".305",".365",".538",".903",".233","5.0",".326","0.6","-1.8","0.8","94","27.8",".378","133","3410"
"Yoenis Cespedes","Mets","543","9.4 %","19.9 %","0.47",".280",".354",".530",".884",".251","2.9",".298","0.7","-0.8","-0.1","87","22.8",".369","134","13110"
"Christian Yelich","Marlins","659","10.9 %","20.9 %","0.52",".298",".376",".483",".859",".185","3.9",".356","3.3","-0.6","-0.2","104","26.8",".367","130","11477"
"Dexter Fowler","Cubs","551","14.3 %","22.5 %","0.64",".276",".393",".447",".840",".171","6.5",".350","4.3","1.3","0.6","87","22.2",".367","129","4062"
"Carlos Gonzalez","Rockies","632","7.3 %","20.4 %","0.36",".298",".350",".505",".855",".207","3.0",".346","-2.2","1.5","-0.7","97","22.6",".361","108","7287"
"Ben Zobrist","Cubs","631","15.2 %","13.0 %","1.17",".272",".386",".446",".831",".174","4.0",".290","4.1","-1.5","-0.9","96","21.8",".360","124","7435"
"Carlos Beltran","- - -","593","5.9 %","17.0 %","0.35",".295",".337",".513",".850",".217","1.8",".315","-2.8","-1.0","-0.1","89","19.6",".358","124","589"
"Mark Trumbo","Orioles","667","7.6 %","25.5 %","0.30",".256",".316",".533",".850",".277","2.9",".278","-1.7","-0.4","0.1","101","22.0",".358","123","6876"
"Jose Ramirez","Indians","618","7.1 %","10.0 %","0.71",".312",".363",".462",".825",".150","5.5",".333","6.9","0.7","1.2","91","18.7",".355","122","13510"
"Jose Bautista","Blue Jays","517","16.8 %","19.9 %","0.84",".234",".366",".452",".817",".217","2.5",".255","-1.4","-3.1","-0.7","76","15.5",".355","122","1887"
"Jackie Bradley Jr.","Red Sox","636","9.9 %","22.5 %","0.44",".267",".349",".486",".835",".219","5.9",".312","3.4","1.2","0.6","94","18.9",".354","118","12984"
"George Springer","Astros","744","11.8 %","23.9 %","0.49",".261",".359",".457",".815",".196","4.7",".317","2.2","0.2","-2.8","109","21.4",".353","124","12856"
"Starling Marte","Pirates","529","4.3 %","19.7 %","0.22",".311",".362",".456",".818",".145","7.7",".380","1.9","0.9","4.2","77","14.3",".351","121","9241"
"Khris Davis","Athletics","610","6.9 %","27.2 %","0.25",".247",".307",".524",".831",".277","2.7",".270","-0.4","-1.6","-0.9","87","15.6",".349","123","9112"
"Michael Saunders","Blue Jays","558","10.6 %","28.1 %","0.38",".253",".338",".478",".815",".224","3.0",".321","1.4","-1.4","-0.9","79","13.5",".348","117","9981"
"Stephen Piscotty","Cardinals","649","7.9 %","20.5 %","0.38",".273",".343",".457",".800",".184","4.1",".319","-1.8","-0.6","-1.0","91","14.5",".345","115","13367"
"Yasmany Tomas","Diamondbacks","563","5.5 %","24.2 %","0.23",".272",".313",".508",".820",".236","2.5",".310","-1.8","-2.2","-1.5","79","12.4",".345","109","17171"
"Adam Eaton","White Sox","706","8.9 %","16.3 %","0.55",".284",".362",".428",".790",".144","5.9",".329","2.1","2.0","0.3","98","14.9",".344","115","11205"
"Bryce Harper","Nationals","627","17.2 %","18.7 %","0.92",".243",".373",".441",".814",".198","4.6",".264","1.3","1.4","-0.3","87","13.0",".343","112","11579"
"Melky Cabrera","White Sox","646","7.3 %","10.7 %","0.68",".296",".345",".455",".800",".159","3.4",".314","-2.3","-1.2","0.0","89","12.9",".342","114","4022"
