"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Aroldis Chapman","- - -","13.97","2.79","5.00","0.31","40.5 %","8.1 %","32.4 %",".157","0.86",".268","80.5 %","37","33","46","1.55","1.42","0.13","1.92","1.95","10233"
"Kenley Jansen","Dodgers","13.63","1.44","9.45","0.52","41.4 %","4.4 %","37.1 %",".147","0.67",".238","80.2 %","46","36","59","1.83","1.44","0.39","2.41","1.60","3096"
"Andrew Miller","- - -","14.89","1.09","13.67","0.97","44.7 %","3.3 %","41.5 %",".159","0.69",".256","95.7 %","34","38","27","1.45","1.68","-0.23","1.18","1.10","6785"
"Dellin Betances","Yankees","15.53","3.45","4.50","0.62","42.1 %","9.4 %","32.8 %",".200","1.12",".353","68.4 %","73","40","41","3.08","1.78","1.31","1.75","1.94","6216"
"Zach Britton","Orioles","9.94","2.42","4.11","0.13","29.1 %","7.1 %","22.1 %",".161","0.84",".230","89.7 %","12","44","49","0.54","1.94","-1.40","2.09","1.74","3240"
"Addison Reed","Mets","10.55","1.51","7.00","0.46","29.9 %","4.3 %","25.7 %",".206","0.94",".286","81.6 %","50","48","70","1.97","1.97","0.00","2.89","2.56","10586"
"Edwin Diaz","Mariners","15.33","2.61","5.87","0.87","40.6 %","6.9 %","33.6 %",".226","1.16",".377","83.9 %","69","48","44","2.79","2.04","0.74","1.88","1.82","14710"
"Kyle Barraclough","Marlins","14.00","5.45","2.57","0.12","36.9 %","14.4 %","22.6 %",".173","1.22",".301","74.8 %","69","53","69","2.85","2.11","0.73","2.83","3.06","13713"
"Seung Hwan Oh","Cardinals","11.64","2.03","5.72","0.56","32.9 %","5.8 %","27.2 %",".188","0.92",".270","80.9 %","47","52","70","1.92","2.13","-0.21","2.88","2.42","18719"
"Christopher Devenski","Astros","8.93","1.29","6.92","0.32","27.3 %","4.0 %","23.4 %",".193","0.81",".260","83.6 %","39","50","78","1.61","2.13","-0.52","3.32","2.85","12763"
"Dan Otero","Indians","7.26","1.27","5.70","0.25","21.2 %","3.7 %","17.5 %",".208","0.91",".260","81.7 %","36","54","67","1.53","2.33","-0.80","2.88","2.66","7385"
"Will Harris","Astros","9.70","2.11","4.60","0.42","27.1 %","5.9 %","21.2 %",".218","1.05",".293","79.9 %","55","55","66","2.25","2.35","-0.10","2.83","2.65","3192"
"Jeurys Familia","Mets","9.73","3.59","2.71","0.12","26.2 %","9.7 %","16.5 %",".218","1.21",".304","74.8 %","64","58","74","2.55","2.39","0.16","3.03","3.05","5114"
"Mark Melancon","- - -","8.20","1.51","5.42","0.38","24.1 %","4.4 %","19.6 %",".202","0.90",".259","80.6 %","40","60","73","1.64","2.42","-0.78","2.99","2.83","4264"
"Kelvin Herrera","Royals","10.75","1.50","7.17","0.75","30.4 %","4.2 %","26.2 %",".213","0.96",".290","77.0 %","64","58","65","2.75","2.47","0.28","2.77","2.45","6033"
"Derek Law","Giants","8.18","1.47","5.56","0.49","23.4 %","4.2 %","19.2 %",".215","0.96",".270","82.0 %","54","65","76","2.13","2.53","-0.40","3.12","3.00","13133"
"Jim Johnson","Braves","9.46","2.78","3.40","0.42","25.6 %","7.5 %","18.1 %",".235","1.19",".314","75.2 %","74","68","76","3.06","2.71","0.35","3.11","3.03","3656"
"Juan Nicasio","Pirates","12.13","3.23","3.75","0.65","31.0 %","8.3 %","22.7 %",".249","1.33",".362","70.8 %","96","68","73","3.88","2.73","1.15","3.03","2.78","7731"
"Matt Bush","Rangers","8.90","2.04","4.36","0.58","25.1 %","5.8 %","19.3 %",".193","0.94",".245","76.8 %","57","63","78","2.48","2.74","-0.26","3.33","3.16","1246"
"David Phelps","Marlins","11.84","4.04","2.93","0.58","32.3 %","11.0 %","21.3 %",".200","1.17",".295","84.8 %","56","69","78","2.31","2.75","-0.44","3.22","3.07","6316"
"Tyler Thornburg","Brewers","12.09","3.36","3.60","0.81","34.2 %","9.5 %","24.7 %",".161","0.94",".229","81.3 %","50","66","80","2.15","2.83","-0.68","3.28","2.74","10688"
"Liam Hendriks","Athletics","9.88","1.95","5.07","0.84","25.8 %","5.1 %","20.7 %",".265","1.28",".344","70.1 %","93","68","82","3.76","2.85","0.90","3.50","3.08","3548"
"Ken Giles","Astros","13.98","3.43","4.08","1.10","35.7 %","8.7 %","26.9 %",".232","1.29",".349","72.6 %","100","67","62","4.11","2.86","1.25","2.67","2.48","12910"
"A.J. Ramos","Marlins","10.27","4.92","2.09","0.14","26.3 %","12.6 %","13.7 %",".218","1.36",".309","78.1 %","69","73","104","2.81","2.90","-0.08","4.28","3.94","8350"
"Ian Krol","Braves","9.88","2.29","4.31","0.71","25.8 %","6.0 %","19.8 %",".269","1.31",".355","79.2 %","77","73","72","3.18","2.91","0.27","2.97","2.81","10066"
"Alex Colome","Rays","11.28","2.38","4.73","0.95","31.4 %","6.6 %","24.8 %",".206","1.02",".280","93.0 %","47","70","64","1.91","2.92","-1.01","2.75","2.56","6661"
"Brad Brach","Orioles","10.48","2.85","3.68","0.80","29.6 %","8.0 %","21.5 %",".199","1.04",".267","81.7 %","48","66","78","2.05","2.92","-0.87","3.31","2.99","6627"
"Craig Kimbrel","Red Sox","14.09","5.09","2.77","0.68","37.7 %","13.6 %","24.1 %",".151","1.09",".242","70.9 %","77","69","82","3.40","2.92","0.48","3.48","2.93","6655"
"Nate Jones","White Sox","10.19","1.91","5.33","0.89","29.2 %","5.5 %","23.7 %",".188","0.89",".243","81.9 %","54","67","70","2.29","2.93","-0.64","2.99","2.69","4696"
"Joseph Biagini","Blue Jays","8.25","2.53","3.26","0.40","21.0 %","6.4 %","14.6 %",".255","1.30",".320","73.2 %","72","68","87","3.06","2.95","0.10","3.71","3.45","13194"
"Zach Duke","- - -","10.03","4.28","2.34","0.30","26.4 %","11.2 %","15.1 %",".213","1.26",".297","83.1 %","56","70","84","2.36","2.97","-0.61","3.52","3.44","3840"
