"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Jose Fernandez","Marlins","12.49","2.71","4.60","0.64","34.3 %","7.5 %","26.9 %",".220","1.12",".332","76.6 %","70","58","62","2.86","2.30","0.56","2.56","2.81","11530"
"Noah Syndergaard","Mets","10.64","2.12","5.02","0.54","29.2 %","5.8 %","23.4 %",".242","1.16",".335","76.9 %","66","56","65","2.61","2.30","0.31","2.68","2.97","11762"
"Johnny Cueto","Giants","8.11","1.84","4.40","0.61","22.5 %","5.1 %","17.4 %",".236","1.09",".293","78.0 %","71","76","83","2.79","2.96","-0.17","3.42","3.59","6893"
"Kyle Hendricks","Cubs","8.09","2.06","3.93","0.72","22.9 %","5.8 %","17.1 %",".207","0.98",".252","81.4 %","52","78","86","2.15","3.20","-1.05","3.55","3.68","12049"
"Max Scherzer","Nationals","11.19","2.21","5.07","1.22","31.5 %","6.2 %","25.3 %",".196","0.97",".255","81.7 %","71","79","82","2.96","3.24","-0.28","3.37","3.05","3137"
"Madison Bumgarner","Giants","9.97","2.14","4.65","1.03","27.5 %","5.9 %","21.6 %",".209","1.02",".265","79.1 %","69","83","86","2.74","3.24","-0.50","3.54","3.36","5524"
"Corey Kluber","Indians","9.50","2.39","3.98","0.92","26.4 %","6.6 %","19.8 %",".214","1.06",".271","74.8 %","73","76","82","3.14","3.26","-0.12","3.50","3.50","2429"
"Rick Porcello","Red Sox","7.63","1.29","5.91","0.93","21.2 %","3.6 %","17.6 %",".228","1.01",".269","74.3 %","71","81","92","3.15","3.40","-0.25","3.89","3.78","2717"
"Jon Lester","Cubs","8.75","2.31","3.79","0.93","24.8 %","6.5 %","18.2 %",".209","1.02",".256","84.9 %","59","82","84","2.44","3.41","-0.97","3.47","3.61","4930"
"Chris Sale","White Sox","9.25","1.79","5.18","1.07","25.7 %","5.0 %","20.7 %",".225","1.04",".279","76.6 %","78","79","84","3.34","3.46","-0.12","3.58","3.43","10603"
"Justin Verlander","Tigers","10.04","2.25","4.46","1.19","28.1 %","6.3 %","21.8 %",".204","1.00",".255","79.9 %","72","81","89","3.04","3.48","-0.44","3.78","3.42","8700"
"Masahiro Tanaka","Yankees","7.44","1.62","4.58","0.99","20.5 %","4.5 %","16.0 %",".234","1.08",".271","76.4 %","72","80","85","3.07","3.51","-0.45","3.61","3.79","15764"
"Jake Arrieta","Cubs","8.67","3.47","2.50","0.73","23.9 %","9.6 %","14.3 %",".194","1.08",".241","74.9 %","75","85","89","3.10","3.52","-0.42","3.68","3.94","4153"
"Aaron Sanchez","Blue Jays","7.55","2.95","2.56","0.70","20.4 %","8.0 %","12.4 %",".223","1.17",".267","76.9 %","70","82","88","3.00","3.55","-0.55","3.75","4.01","11490"
"Jose Quintana","White Sox","7.83","2.16","3.62","0.95","21.6 %","6.0 %","15.7 %",".245","1.16",".293","79.0 %","75","81","95","3.20","3.56","-0.36","4.03","4.01","11423"
"Kenta Maeda","Dodgers","9.17","2.56","3.58","1.02","25.0 %","7.0 %","18.0 %",".228","1.14",".283","75.6 %","88","88","90","3.48","3.58","-0.10","3.70","3.69","18498"
"David Price","Red Sox","8.92","1.96","4.56","1.17","24.0 %","5.3 %","18.7 %",".254","1.20",".310","73.6 %","90","86","83","3.99","3.60","0.39","3.52","3.60","3184"
"Jon Gray","Rockies","9.91","3.16","3.14","0.96","26.0 %","8.3 %","17.7 %",".239","1.26",".308","66.4 %","94","81","87","4.61","3.60","1.00","3.61","3.72","14916"
