"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Corey Seager","Dodgers","687","7.9 %","19.4 %","0.41",".308",".365",".512",".877",".204","4.1",".355","2.7","0.9","-1.0","112","30.6",".372","137","13624"
"Manny Machado","Orioles","696","6.9 %","17.2 %","0.40",".294",".343",".533",".876",".239","2.3",".309","0.9","0.3","-1.6","110","27.6",".366","129","11493"
"Jonathan Villar","Brewers","679","11.6 %","25.6 %","0.45",".285",".369",".457",".826",".171","6.4",".373","-1.5","0.1","4.6","101","21.0",".356","118","10071"
"Carlos Correa","Astros","660","11.4 %","21.1 %","0.54",".274",".361",".451",".811",".177","4.5",".328","2.2","0.8","1.0","95","16.9",".349","122","14162"
"Xander Bogaerts","Red Sox","719","8.1 %","17.1 %","0.47",".294",".356",".446",".802",".152","4.5",".335","3.9","1.7","0.5","102","17.5",".348","113","12161"
"Asdrubal Cabrera","Mets","568","6.7 %","18.1 %","0.37",".280",".336",".474",".810",".194","3.4",".310","-2.6","-1.4","0.3","80","12.8",".345","119","4962"
"Elvis Andrus","Rangers","568","8.3 %","12.3 %","0.67",".302",".362",".439",".800",".136","6.7",".333","2.9","-2.3","1.2","79","12.3",".344","112","8709"
"Francisco Lindor","Indians","684","8.3 %","12.9 %","0.65",".301",".358",".435",".794",".134","5.5",".324","0.4","-0.7","1.3","93","12.6",".340","112","12916"
"Brad Miller","Rays","601","7.8 %","24.8 %","0.32",".243",".304",".482",".786",".239","4.9",".277","0.6","1.7","-0.7","78","7.5",".333","111","12775"
"Brandon Crawford","Giants","623","9.1 %","18.5 %","0.50",".275",".342",".430",".772",".156","5.9",".322","0.8","1.5","1.1","78","4.4",".327","107","5343"
"Troy Tulowitzki","Blue Jays","544","7.9 %","18.6 %","0.43",".254",".318",".443",".761",".189","1.5",".272","-1.8","-0.8","-0.1","68","3.8",".327","102","3531"
"Eduardo Nunez","- - -","595","4.9 %","14.8 %","0.33",".288",".325",".432",".758",".145","6.6",".314","-1.8","1.0","3.6","73","2.7",".324","102","6848"
"Didi Gregorius","Yankees","597","3.2 %","13.7 %","0.23",".276",".304",".447",".751",".171","4.3",".290","1.7","1.2","0.7","71","0.2",".319","98","6012"
"Addison Russell","Cubs","598","9.2 %","22.6 %","0.41",".238",".321",".417",".738",".179","4.3",".277","-0.2","1.2","0.3","70","-0.8",".316","95","14106"
"Marcus Semien","Athletics","621","8.2 %","22.4 %","0.37",".238",".300",".435",".735",".197","4.4",".268","-1.3","0.1","0.9","72","-1.6",".315","100","12533"
"Zack Cozart","Reds","508","7.3 %","16.5 %","0.44",".252",".308",".425",".732",".172","4.2",".274","0.4","-1.0","0.2","57","-2.4",".312","91","2616"
"Jordy Mercer","Pirates","584","8.7 %","14.2 %","0.61",".256",".328",".374",".701",".118","3.0",".286","2.9","1.2","-0.5","62","-7.0",".304","89","6547"
"Danny Espinosa","Nationals","601","9.0 %","29.0 %","0.31",".209",".306",".378",".684",".169","3.7",".261","1.2","3.2","0.7","59","-12.0",".294","79","9219"
"Freddy Galvis","Phillies","624","4.0 %","21.8 %","0.18",".241",".274",".399",".673",".158","5.0",".280","0.8","-0.3","0.7","56","-17.4",".284","74","6609"
"Jose Iglesias","Tigers","513","5.5 %","9.7 %","0.56",".255",".306",".336",".643",".081","3.6",".276","2.6","-0.3","-0.5","46","-14.8",".283","73","10231"
"Alcides Escobar","Royals","682","4.0 %","14.1 %","0.28",".261",".292",".350",".642",".089","5.4",".295","-1.1","-1.1","1.4","58","-22.7",".278","68","6310"
"Alexei Ramirez","- - -","506","4.2 %","12.5 %","0.33",".241",".277",".333",".610",".092","3.4",".265","-0.1","-0.1","-2.3","37","-22.6",".264","63","5133"
"Adeiny Hechavarria","Marlins","547","6.0 %","13.3 %","0.45",".236",".283",".311",".594",".075","4.0",".269","1.7","0.4","-0.1","36","-27.9",".256","56","10459"
