"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Corey Seager","Dodgers","157","627","687","193","122","40","5","26","105","72","54","5","133","4","2","0","12","3","3",".308","13624"
"Elvis Andrus","Rangers","147","506","568","153","107","31","7","8","75","69","47","2","70","4","7","4","18","24","8",".302","8709"
"Francisco Lindor","Indians","158","604","684","182","134","30","3","15","99","78","57","3","88","5","15","3","18","19","5",".301","12916"
"Xander Bogaerts","Red Sox","157","652","719","192","136","34","1","21","115","89","58","0","123","6","3","0","14","13","4",".294","12161"
"Manny Machado","Orioles","157","640","696","188","110","40","1","37","105","96","48","9","120","3","5","0","14","0","3",".294","11493"
"Eduardo Nunez","- - -","141","553","595","159","115","24","4","16","73","67","29","3","88","5","6","2","8","40","10",".288","6848"
"Jonathan Villar","Brewers","156","589","679","168","108","38","3","19","92","63","79","4","174","2","4","5","7","62","18",".285","10071"
"Asdrubal Cabrera","Mets","141","521","568","146","92","30","1","23","65","62","38","3","103","7","2","0","14","5","1",".280","4962"
"Didi Gregorius","Yankees","153","562","597","155","101","32","2","20","68","70","19","2","82","6","5","5","9","7","1",".276","6012"
"Brandon Crawford","Giants","155","553","623","152","101","28","11","12","67","84","57","10","115","4","9","0","13","7","0",".275","5343"
"Carlos Correa","Astros","153","577","660","158","99","36","3","20","76","96","75","5","139","5","3","0","12","13","3",".274","14162"
"Alcides Escobar","Royals","162","637","682","166","129","24","6","7","57","55","27","2","96","3","5","10","16","17","4",".261","6310"
"Jordy Mercer","Pirates","149","519","584","133","97","22","3","11","66","59","51","8","83","5","2","7","11","1","1",".256","6547"
"Jose Iglesias","Tigers","137","467","513","119","89","26","0","4","57","32","28","1","50","8","3","7","12","7","4",".255","10231"
"Troy Tulowitzki","Blue Jays","131","492","544","125","80","21","0","24","54","79","43","1","101","5","4","0","14","1","0",".254","3531"
"Zack Cozart","Reds","121","464","508","117","71","28","2","16","67","50","37","3","84","2","4","1","9","4","1",".252","2616"
"Brad Miller","Rays","152","548","601","133","68","29","6","30","73","81","47","0","149","3","3","0","5","6","4",".243","12775"
"Freddy Galvis","Phillies","158","584","624","141","92","26","3","20","61","67","25","6","136","3","4","8","16","17","6",".241","6609"
"Alexei Ramirez","- - -","145","478","506","115","85","22","2","6","38","48","21","3","63","4","2","1","8","8","9",".241","5133"
"Addison Russell","Cubs","151","525","598","125","76","25","3","21","67","95","55","6","135","12","6","0","11","5","1",".238","14106"
"Marcus Semien","Athletics","159","568","621","135","79","27","2","27","72","75","51","1","139","0","1","1","12","10","2",".238","12533"
"Adeiny Hechavarria","Marlins","155","508","547","120","94","17","6","3","52","38","33","7","73","1","3","2","10","1","0",".236","10459"
"Danny Espinosa","Nationals","157","516","601","108","69","15","0","24","66","72","54","12","174","20","4","7","4","9","2",".209","9219"
